category,text_cleaned_string
negative,hey thanks helping miss buddies th bday guys really trashy company shouldhaveflowndelta unitedsucks
negative,see report team
negative,fair asking mktg cd`s etc suggested never even emailed back
neutral,widddd i`ll bus london also
positive,eeee days til yorkkkk days til stoke think haha eee xx
negative,thanks concerned conflicting texts receiving flight drive hours
positive,thanks show
neutral,bout hit pmark make one final meals wit housemates
positive,yes liked much wasn`t even cheesy
negative,handed device fix owner doesnt fancy waiting nowounder
positive,saying goodbye parents airport great around
neutral,required
neutral,well guess i`m heading la weekend doubt i`ll get go ps blog meet greet
negative,call chairman call emerald today call former customer
positive,he`s amazing jockey saw clydesdale commercial tooloved
neutral,hey think someone could meet book arrive yes please amypoehler oscar took
negative,summer glau appear dollhouse next year still can`t believe won`t renew tscc
positive,thanx ive problem long timeill check
neutral,nov th
negative,chopsuey unhappy laughing ass humble feeds always bomb
positive,happy mothers day
negative,gets worse every year worst oh months today
negative,never invite
neutral,don`t wanna wake shoo roommate shoo
neutral,fulltime trader trading stocks futures forex trader es baba aapl gpro fb eem esignal
negative,top dozen ppl missed connections one person customer service abysmal
negative,check st louis rude even tsa nicer
negative,thanks tweetstats confirmed long suspected twitter keeping way late
negative,busy ugh largest headache
negative,severely upset rude cs rep get shes prob stressed aw let help cld mk btr
negative,flew us air first time yesterday got propositioned flight attendanttrue story creditcardsales
neutral,back square one
negative,donny unhappy
negative,need help flight weather funeral tough combination hold hour please
negative,missing everyone
neutral,bgt holly take paraded stage potential rejection
positive,fri thu im going friday showing
positive,cant say enough awesome apple theyve already processed reorder phone ups lost
negative,called btv desk information exists systems dont make easy customer access
negative,serious problems concentrating press release afternooni sleepy eyes right
negative,you`re reason can`t get boc
positive,gawd find man feel ancient sudden lol lol
positive,buy sleep that`s need
positive,printing opera gives much better result printing pdf names _stdin_pdf always gotta compromise
negative,foxconn robots proving unsuitable iphone assembly updated versions works aapl
neutral,would watch home
negative,burned tongue workkkkkkkkkkkkkkkkk
positive,hate presentation hahah whatever im glad
positive,bioshock fantastic first time played sleep bioshock tomorrow
negative,tomorrow night hotel voucher higher rate travelocity loving cost hard working staff
positive,ill keep awake happy
neutral,hope you`re loads fun love miss boys
positive,ake you`re work lazing home sunny bank holiday
neutral,flew home london ni catch family caption show everyone went bed early left
positive,love jet blue
positive,facebooking hahaha
negative,even bag statuswill take actions company incredible irresponsible costumer
positive,haha realised sounded lot like stellllaaa lol anyhoo got ur facebook msg start working soon hopefully
positive,good deal im good thank u one loving mom
negative,much longer united phone hour straighten star alliance upgrade
negative,moms season weeds got burnt family friends mobile home
negative,moved us onto pm availability answer phone young children help
neutral,thank info changes need made phone correct way aa agent call directly
negative,mad quiz answer bet ford fusion sweepstakes wrong
positive,ah good idea library seems work thats i`m obviously
neutral,yes houston intl bush
positive,scott make chuckle bags podcasts lenses taken photos yet
negative,muscle back cramping hurts bad owww
neutral,__cullen_ lol emmett wont dance
positive,keep telling you`ll feel better tomorrow lazy day sunfay afterall excuses
neutral,innovation distinguishes leader follower steve jobs cofounder
negative,think status nothing think bug search system
positive,fun
neutral,yep here`s pic kid standing puffy taco photo
neutral,studio ft one outlet computers need batteries future
negative,miss bmf sad
positive,would great thanks
neutral,itttt
positive,cant go sleep lets conversate
positive,would applaud selfvalidation sorts good theological psychological sociological reasons agree lighten
negative,reservations hold hours hang upsmh
neutral,i`m way see ` again` i`ve wanted see looong time
negative,taking souls friends family watching die nightmare trust
neutral,idea winter advisory posted atl tomorrow id rather get phl tonight
negative,mind racing bc words wrote hate hate can`t keep falling
negative,_meaway i`m sorry hon know feels thoughi`m usually crazy family gathering i`d probably hold back like also
neutral,thanks everyone unfortunately nothing done sales speak doesn`t convince diamond nothing
neutral,received emails either inbox junkspam
positive,stats day arrived new follower unfollowers happy via
positive,got finished cleaning putting mom`s presents happy mother`s day i`m going sleeeeep
positive,excellent howdy naybur love tail waggers
positive,niiice
positive,_uts bass love
positive,guys entertaining insightful one reasons really enjoying lpl lot season
negative,it`s trashy sensationalistso yes
positive,lol we`re twitter addicts
neutral,wish could play guitar guitar got christmas`s ago collecting dust need learn haha
neutral,enjoying nice weather stuck indoors writing essay
neutral,diiinner sooo cold right
positive,lovely
neutral,never better follow local tweeples it`s right
positive,flying soon nyc airline airlines ive flown youre still
negative,ashley getting sick ugh i`m losing voice nooo
positive,im going try last hour even turn volume alarm wont miss nitey nite
neutral,get another pack geography test correct weekend
neutral,saw american old colours saturday surprised see
negative,cancelled flightled flight avail flight phl today u said sold buy nd ticket u need refund
positive,welcoming two soooper dudes twitter
negative,sunburnt factor
negative,fuck
neutral,unfortunately still tarmac definitely missing ride gonnabealongnight
positive,baked cookies
negative,i`m sorry you`re feeling bad hope get better soon know plague doesn`t getcha
neutral,cover photo twa wondering
negative,weirdest hives legs arms heck allergic itches bad dang
negative,chemistry i`m gonna choose english find chem kinda boring end gonna help people choose chem
positive,good morning it`s raining
negative,cant help dont put people hotels miss flight policy
neutral,credit flight cancelled flightled new flt booked yr orig purchase date flown date
negative,layover itinerary swapped layover itinerary really
negative,miss dogs unhappy
neutral,riley hacked twitter hahaha ]
neutral,princess sakura mine therefor want use tj grr
negative,thanks lot sending special deal getting screwed best vacation sarcasm get new partners
positive,could fly mddc would happy live plane much md love md life
neutral,first time weeks see clear blue sky
negative,proof use products freaking mail shows search file findernut kicks
neutral,time play drums
positive,children like sponges soak love give one squeeze get back xx
positive,made send bloody marys row
positive,yeah least try good night visit chiro tmrw
neutral,actually wanting buy bus one day turn motor home imagine whopping big blokeslib logo
neutral,aweee im sorry deep u know love ya
neutral,need drank grape kontakt girlies lol soooo serious
positive,considered asking came
neutral,sooooooooooooooooo need see u im bs real deadass lmao
negative,means spend time alone friends family sad
neutral,need sleeping i`m even tired
negative,run join youmiss running
negative,blonde keep failing drivers license testeverytime stopped jumped back seat
neutral,winding night rode duc home bbq pops house time pass soon adrenaline wears
negative,got dropped froma coupla ppl following detroit fans
negative,need help missing bag
positive,wanna play tonight pout pout side face
neutral,apple bears get paid put contracts double amid drop aapl
positive,go canada made nikkie payne comic well soo yeah funny pervs teens people family
positive,thank
neutral,causes frustration buddy
negative,i`m still pumped concert saturday come
negative,also concede first twitter grammar fail
positive,offence dont want hurt anyone
positive,v makes everything better
neutral,new twitter needs studying
positive,web good metaphor democratic process truth better served transparency opaqueness private `vote`
neutral,taps shoulder forgotten
neutral,uk buy iphone iphone plus iphone iphone c iphone iphone aapl
positive,don`t follow dreams chase richard dumb think smart
neutral,today happy got got school early i`m bored
negative,ive trying set phone interview days hoping position wont filled link doesnt work
positive,
positive,whos going see reemer wednesdayy kirsty going im well exited
negative,im boring bad weather today watchingn alias fun boyfriend
positive,hey thanks top new followers week much appreciated happy want
negative,airline fly havent seen anything like yet
positive,wasnt mei looking sunshine
positive,youre soho swing lex st loads cookies charity well done run
positive,yes he`s really back couldn`t wait day arrive finally it`s gale back i`m pos
negative,today`s aba full emotional tears asd autism days harder others hard intervene poor baby
negative,let seriously unhappycustomer
negative,pictures storage full get together
neutral,victor drew hannah montanna yearbookhahaha i`m going miss nd per much
neutral,like eight years ago sure would happen
negative,going police dept due sexual assult stewardess allowed occur lack concern
positive,fantastic jjj questions already teacher`s pet
positive,thanks gent phone fixed bosmco flight fee waiver flyfi forget name
neutral,sc collegium accepts govt thorn
negative,would call roused midnightreminds times roommates unhappy unhappy unhappy suck
negative,never recd cancelled flightlation notice left w options fly ps driving la red eye mon w kids
neutral,flight departed phoenix
negative,cost one round trip tickets
positive,weetabix choco milk yum
positive,
positive,photo amazing customer service today utc store worked form store several hours
negative,plane sitting hanger day numerous mechanical problems doesnt anyone actually maintenance
positive,gotta buy onesies besties lol ah yea club grand ol time
neutral,sportday charlotte
positive,join us saturday celebrate earth planting seedings head fb page information happy
positive,great song
neutral,hey y`all waiting final edits cover sombody`s baby can`t wait input
positive,fun stuff night ari im sure blip tomorrow
positive,well thankyou mam
positive,good morning think worried another th birthday nah cinch xx
positive,back working auditing away time make hard decisions happy
neutral,hubby went pick fringe comics today store work store business comix houston web
negative,found mj mouse flats djs course none left size
positive,says numbers good that`s left white blood cell count
neutral,looks like ionbased miniitx board won`t ship midjune earliest
neutral,yes sunday
negative,fl cancelled flightled dallas austin one answering need help
negative,wanted go clubdancingbut im tired anyways go work tomorrow
positive,jammin pod day night
neutral,awwww criedmakes cry love joey
positive,cool hope ur bro fine
negative,something wrong phone system call someone dont play recorded flight notification us late flight
positive,watching snl love life hosting
positive,trying make said wicket less sticky
neutral,sftw pot tea
negative,u gotta say
negative,someone keyed car
positive,sure hope
neutral,threeday weekend starts gonna watch star trek opted go another night instead
positive,great way start vacation time departure looking forward global first class suite
neutral,agree mmm good miss eating tho
neutral,whaat would seem powerful spell kind tips scale favor
neutral,keeping aa air crew chief cousin alex espinosa dfw
neutral,experts recommend exercise minutes days week two jillian videos
positive,great hear u today u r best cannot wait see u cruise cindy sign
neutral,brother making banana shake yesterday made mango shake he`s shake guy
neutral,says new layout back default plurk themes yay pero dumugo ilong ko kakatweak sa font ha
positive,nah gee reply whenever wishes birthday coming something make smile
negative,_e aw well im sorry don`t like july reasons
neutral,ladies
negative,second flight put cancelled flightled explanation missed first meetingoutraged
positive,miss work taken philly ive flight bos gt phl many times res seat
neutral,it`s program shows twitter facebook status updates one it`s alright yeah probably won`t use often
positive,need box tissues every show luv
negative,getting upset listening say want speak mitchel darn phone got money x
neutral,help add ktn reservation plz
negative,june june unhappy
negative,spending afternoon mia fault lounge inconvenient
positive,one good gig
negative,whataburger closing locations tally harsh might transfer schools
positive,quoti poke facequot kid cudi feat kanye west common better
negative,say characters plus dont follow
negative,havent released travel advisory iad tomorrow
positive,im uphave clean room bake cake tomorrow hours bday hehe
negative,went buy iphone told although stock reserve return tomorrow buy goodbye
negative,well mom called earlier guys hold close hour
negative,fail poli sci fucking laptop im suing
neutral,note crunch glassbangles
positive,needs shows wednesay oh well come one come irvine improv live gotham showcase pm lots good comicsthen
neutral,indias opaque law
neutral,movie plane mall cop saw nephews already
negative,koalas dying thirst us unhappy
neutral,peeps still fun times gotta sleep tho work cool hot chicks none cool ____________ missing
positive,mom happy present yayy
neutral,
positive,sending love respect mommies twitterverse inspire
neutral,_s make tea pleaseeeeeeeeeee
negative,lif`s unfairluk wat frendi hating
neutral,lazy sunday
neutral,beat aye music hall babyy im like cinnamon beat apple apple jacks
neutral,amit roy tour
neutral,james`s go
positive,nice youve changed avatar know look like
positive,wish could remember names
negative,responsible replacing
neutral,offense thought career change
negative,appreciate quick response one go outside check temp leave buf currentlysittingontarmac
neutral,indian navy ships respond piracy attack foreign merchant vessel gulf aden
negative,yes today flight full said gate
positive,hmmm yesterday committed running bulls pamplonaon web bulls looking awful bignervous already
negative,stranded hours mia patrick casimir aa staff apologize great inconvenience unreal
neutral,talk
neutral,wondering shouldn`t gettin bed
neutral,well scared saying may rustling trees happy sunday sir
positive,thats true thnx man means awful lot
positive,lorraine kelly sexy mama
positive,`spot on`i wouldn`t tweet without thanks share tonight
positive,wishing could famous acting dancing
neutral,apple needs china love apple watch aapl aapl
positive,happy accommodate peanuttreenut allergies flight st online cover air provider
neutral,way dazzle bar
positive,ltaljx dca oma morning staff helped fix problem helpful goodthingscome thanks
negative,missed one
negative,bug cod system link map pack isnt working
neutral,seo voodoo google cache noarchive hides users
positive,last retweet happy
positive,like dr seuss quote know you`re love can`t fall asleep reality finally better dreams
negative,read full story submit case team pilot flight sleeping dia
positive,youre right
neutral,it`d nice soon we`ll pay tweet
negative,dont know didnt even realize gone let put againdarn twitter
neutral,studio ft one outlet computers need batteries future
negative,yes last month boston got first big snow storm flight cancelled flightled
neutral,crochet laura simple stitchesi make mean afgan
neutral,great session canvassing sun miserable cus go pub
negative,checked standby st class find list merger pain
positive,wants cookie
negative,flight cancelled flighted last opportunity rebook us flights evening passed
positive,whats new coolest usual ahhaahhaha leannes nd cos
positive,loved chelsea lately
negative,couple unhappy
neutral,well la hr car ride dark palm springs technically maybe ill get bumped st class den phl friday
positive,thank retweet
negative,long painful miles today knees ache approaching years rough accepting well glasses draft helped
positive,i`ll try thanks
neutral,drive ins daa crewww
negative,apple id always b able b set wout cred cardpaypalgift card attach youll still get buy fail
negative,youre blowing customer service shotwest airlines
negative,you`re alive go w notebookit`ll make cry stuff
neutral,didnt get paid week roll tuesday
negative,mention fact flight delayed computers
negative,flight landed hours ago flights cmhiad last night still bagcould driven cmh
neutral,sena lawmakers opposing harsher steps assaulting public servants
negative,im bored musiic[box]
negative,cause fuck
neutral,zoonova whatif analysis aapl lnkd fb googl tsla stocks options bonds frn mm bps vol nasdaq
positive,goodnight magic pretty world
neutral,_dinasadik forensic mein kya hai bas rat te jaao microhavin micro exam soonthe lab diagnosis individual bacteria
negative,justcause summer hours say day ends pmdoesn`t mean really get leave
positive,hello followers thank much following love read tweets happy want
neutral,girl needs hug lost cell phone
negative,right side earphones stopped working sudden need buy new ones
positive,theres always something good happening lives open eyes take time realize
negative,picked luna vet looks like she`s crying i`m kidding lashes wet tear trails poor bebe
positive,lets clean air _meattle_on_how_to_grow_your_own_fresh_airhtml via
negative,made huge revelation dishes everyone left totally forgot hate happens
negative,really sad shes missing critical mass
negative,bought new iphone never gets reception places battery life worse nomoreapple
neutral,apple inc defendants take stand antitrust lawsuit aapl antitrust
positive,look cute
neutral,_carroll want marty mcflyy tshirt
neutral,left first left bed look
positive,wooohhooo beach awsome haha luve water soooo cold went seattle aqui bech somethin like p
negative,line people rebook mia virtual hold rebook line hangs call back
neutral,omg didnt even know friend knew lol small world
positive,latenight westcoast meeting online things going well
positive,haha know sorry typos last tweetblehhh ps said sucha cute movie awww
negative,still sick home
positive,big kudos staff today dallas love field lifting everyones spirits today delays cancelled flightlations
positive,thanks new work arrive weeks
negative,past week phone stay freezing amp closing apps wtf
neutral,thank valuing feedback
negative,sitting runway newark wont let plane gate connection boards minute hates us
negative,duh done bag whereabouts unknown greeeaat
positive,moffitt library ate golda kuya rosauro ichat ate golda much studying _
neutral,hi ho hi ho it`s work go
positive,watching u morning really amazing u
neutral,came house morning stink cat poo cats business little bit garden
neutral,green computing
positive,wow beautiful picture wayi straightjust wanted let know bella
positive,oh totally works
neutral,attending cic`s parents` orientation tomorrowneed wake early
neutral,link sent tax relief web page
positive,ready productive friday one last year
negative,know bags knew hours ago killing worst service ever
neutral,missed lol
negative,__ im sick fell last night outside coz putting something bin
positive,good morning friends happy may bank holiday
positive,oh know aprreciate back plan
negative,wish could meet u think happen someday `
positive,bed hot date sudoku maybe chapter two reading stay awake long great night tweeps
positive,wants welcome back plurk
negative,nose runny head pounding teeth hurt like man feel awful
neutral,got cable set win got lock put door win feeling tad neglected fail
negative,need help im moving dc amp want book one way fare website wont seem let missing something
neutral,mean mite sumthn u doin hope get c u b u head bak
positive,listening metal shop mooneys good
negative,okay since couldnt put earlier flight buy ticket another airline
neutral,didnt know u guys acc fb hee
positive,yes thats good idea late side world
neutral,apple fibonacci technicals levels intraday update aapl aapl
positive,good morning hope nice productive day
neutral,really
positive,great news today finally columbus top unserved market flights
negative,weve let know help millions customers youve treated like garbage coincidence ur ranked worst airline
negative,thanks ill keep mind tho ive lately unhappy everything im moving away
neutral,doesn`tsheesh
positive,thanks
neutral,might look wife travels much could use membership
negative,giving direct flight iah honolulu rd attempt years rd delay meal voucher wow customer service
neutral,would love guys toured really philippines tour
positive,got love gispy kings
negative,understand hours late flightr still havent heard word plan week zero information
neutral,i`m looking forward joy f hoping another disaterous race ferrari button gets another well deserved win
negative,ticks
neutral,currently standby lax hour ride palm springs long day starting snowy philly
positive,i`ve given question thought u may right one host provides hd quality viewers maybe
negative,heeeeey notice unhappy
negative,bad coffee juice ok getphilz united terminal sfo airport
negative,stuck plane landing crew unable figure
positive,wellington monet exhibition casually bumped wayne brady hotel lobby mega exciting
negative,crying real tears
neutral,mom asking i`m feeling better dargah visit dad swears sees change amused yeah still depressed
neutral,back mountains
neutral,oops forgot shave legs byebye favorite cousin bklyn two nights row go hardd
positive,time breakfast work going visit musical tonight looking forward
positive,brief interruption brb goodnight don`t catch u later gotta ck something
negative,worst airline ever thanks slew rude agents staff making delayed flights even worse
positive,completely love iphone right playing newphone amp digging daycomplete pizza
negative,awful customer service
positive,thanks much relaxing flight
positive,lmao youre roll nite bro hellyeah
positive,hey everybody hah day cool got back walk dog omgosh send link please
positive,hiii gentleman commander bryannousaurus happy
neutral,mastercard teams gwen stefani promote apple pay aapl aapl
positive,heres full art glyph keeper mummy token interested hitting ebay tonig
negative,frustrated twittermy picture load
positive,love books
positive,love target hiii nicole
negative,needs wash cats uncool
neutral,don`t know
neutral,apple heads trial itunes update aapl
positive,hi flight try book new one way flight departure shows pm seems accurate
neutral,see guru fund managers hold apple aapl aapl
neutral,wondering i`m awake amwriting new songplotting evil secret plots muahahahaoh itnot secret anymore
positive,fab wedding yesterday feet still sore dancing must good sign v glad wake bed morning
negative,flight vegas houston cancelled flighted morning due operation mean thank god woke early today
positive,thank much rex ff
positive,plain white t`s sara bareillescan life get amazing
negative,im dming info assisting flight home left first flight even landed
negative,thinking upgrading yosemite think twice everyone rt asmsg
positive,im trovus tuesday breakfast currently meet greet thing
neutral,tha internet txt
positive,holy smokes star trek freaking awesomeeeee
positive,uni playing potc outside free hotx buns feel lovvvved
positive,whooooooooooooa ang ganda ko dito ha thank
positive,tell youre sorry dont believe baby like youre sorry
positive,great swim morning apart nearly swam straight top speed dive next lane
positive,good morning twiggas twitches getcha motivation
neutral,could update status one place
neutral,supreme court orders attachment rs
neutral,guns bjp
positive,anyone help upgrade buisness select cant seem get hail right area know guys good
positive,liked old ruby best
positive,work today went shopping relaxing learning toefl
negative,raining hard unhappy
negative,please dm way get touch someone help im platinum aa considering quitting aa bc
negative,unlucky day wasn`t without hope see wednesday though right x
negative,britain
positive,thank best lol
negative,one looks like problem fixed
neutral,count
positive,found great chinese place hang
positive,saw got changed hot
neutral,american trade journalists ask prs `how you` almost time uk journalists ermnot much come
positive,thanks notifying us updated addon plans accordingly happy
positive,great link certainly help lot thats sure got know
positive,enjoy laker game guys since i`ll work
positive,haha interesting haha
negative,wish flying cancelled flightled flights tomorrow never notified us flyus ripoff
positive,wrong always oatmeal bag
negative,guys gonna get metal detector brickmans saw chad ask davey fb sorry `bout ring
positive,lol thanx
positive,days birthday
positive,thank easy itinerary shift impending weather quick painless amp free
positive,thats great domain name wonder itll end going
positive,hi r u cookie
positive,makes happy hear girl talk tweet nba could give nuggets love
neutral,go work
positive,happy
positive,today isn`t going way planned early lunchbreak may back til mon weekend gonna fun friends tho
positive,ah midday great time breakfast
neutral,amulya patnaik appointed new delhi police commissioner patnaik agmut cadre ips officer
positive,youre enjoying
negative,miss peanut gallery
positive,certainly design platform surprised tabletsphones failed leadinginlocal
neutral,reading magazine
negative,kno they`re guilty pleasure like shopping
positive,today yyz bit bag issue cleared beautifully thank check
neutral,special chocr makin rounds gourds show
positive,wishes could special someone
positive,juggernaut dr doom magneto amp xavier ahahah today good day n__n
neutral,maaaaan spent hour project work computer bork crash lost
neutral,come it`s cold days ago wicked nice feel like need winter coat back
negative,flying lga dead winter jvstatus ewr amp jfk always intelligent option
positive,ive got wine laptop dvr full quotworlds dumbestquot fun evening
negative,flights leaving dc today flight cancelled flightled hold hour
positive,oh cool coming berlin
negative,agent phx customer service desk hour ago line people long
positive,graduation tonight i`m gonna miss boysmikey dustin miles charlie travy nicky john jake boysi love guys
positive,thanks recent follow happy connect happy great thursday get
neutral,yeah
negative,hrs searching flts find site amp cant book offered bc seg isnt really available lies falseadvertising
negative,something wrong i`m tired barely keep eyes open yet i`ve done last hrs toss turn bed
neutral,yep mood
positive,saw ucla bookstorenow convinced every single major university better bookstore fun far
positive,new sel column ppc freakin killer best thing ive read long time
neutral,car get towed thats happened redgie`s car last time went another reason don`t like splashtown
neutral,absolutely
neutral,also epaper
negative,ive music hold hour trying get aadvantage membership merged someone please call asap
negative,double booked spoke cs weve got plan fix still amateur mistake never happen
negative,new friend called shame
neutral,haiti id food distribution hundreds hungry kids nearby villages flyingitforward
negative,wicked dvbs tuner card arrived although sure i`ll able get set ready fa cup final tomorrow
positive,good morning twitter community got finished eating delicious stack pancakes courtesy mom bisquick
positive,social media diagram cc non derivative one never knows someone mess
neutral,big sad face bing doesn`t work iphone takes regular mobile live search
negative,trouble starship troopers they`re mean great big pink bug
negative,way help find flight las stuck dia sat plane hrs waiting hour update
neutral,lmao would taken least week
neutral,profit apple aapl options trade trading finance short bet hedge
positive,coolest foreign words english language needs check number one amazing
neutral,i`m needing girls night wearing sweats watching movies eating chocolate talking boys
positive,loves summer don`t forget people tomorrow mother`s day
positive,cool show last night fits
negative,really hours dont like delays avoid well way asap
positive,welcome home
negative,oh shiz im minutes wait first hour barrier unbelievable
neutral,says
negative,drill sergeant`s voice everybody wake flicks everyone`s lights it`s est rise shine beetches lol jk
positive,hehei bet never looked back weeks long school trip
positive,score two days get food stamps good cause want safeway pizza
neutral,hi howmany people follow much help others
negative,there`s filmtv jobs especially wmids can`t afford move away yet sorry missed
positive,cheers
positive,always get really excited `steal kisses` ben harper comes ipodgreat songlove beatboxing beginning
neutral,one week race cure please donate you`re able wish luck mile training run tomorrow
negative,fly toronto youre killing smalls
positive,thank information
negative,spoke representative offered solution loyal customer flies well
positive,wow wow hope get sort guts near future
neutral,awwww ur already gone
negative,get cha shit together fix phone
negative,deeply disappointed birthday promo applied trip booked mere days received email
positive,yay wheres bazaar im excited hope sell loads stuff
negative,phone shitty even time freezes
negative,flip scr
positive,chillin` hangover hollyoaks plate chipssunday mornings
neutral,back work go
positive,thank much youre amazing im going cry omg
neutral,loved discussion come back called second turnaround bi_ignition
negative,never relaxing weekend allahpundit
negative,iphone fell
negative,worst experience cancelled flightled flight voucher luggage ramp broken ramps charlotte
neutral,basically need leave hawaii late flight evening midnight get back philly late flight monday night trips get tues
negative,today started well
neutral,winebeerand champagnelets see goes tomorrowlol
neutral,new era amity h
positive,tamiori trying sleep surfing web
neutral,dates destination im headed
negative,incredibly arrogant thing say sit ohare waiting incompetent airlines refuel
negative,get compensation cancelled flighting departure twice made missed wedding
neutral,eating bbq jalapeno torta subway los chaparros right next door
positive,goodnight world inhabit
neutral,tomorrow ric bos looking good better rescheduling
positive,new client project brewing new financial year timeline still gives space take time
positive,dm sent thanks much responding response timely missed
positive,new video amazing simply stunning mention one favorites
negative,waiting bags min phl bag claim
negative,it`s hot hate summer harrymcflytosing
neutral,village may fayre bag packed ready bring back homemade goodies
positive,thanks sent dm baggage issues
neutral,ocean sounds cd
positive,top high value members week happy
negative,half hour late flight leaving dfwno attempt explanation
negative,shelf ikea fell wall damage doneabout worth least thats estimate
negative,waiting flight jfk h newyork viracopos americanairlines
neutral,dang course i`m jealous `cuz didn`t think first
positive,well sounds delicious i`ll laying patio tom sans pool enjoy burgers
positive,_another_ yeh can`t even imagine good luck
negative,im glad dont care people think anymore wish still looked best everyday like used sad pick
negative,pillows blankets flight home people bad things hair
negative,im hungry thirsty afraid go downstairs
neutral,nothing
negative,still waiting email max consider news bad news
negative,charged one way baggagefind others leaving pittsburgh equipment werent charged hung
positive,havent seen never knew til ads scifi looks pretty awesome
positive,happy mother`s day mom`s
negative,tell luggage flight sna dfw flight mke cancelled flightled got rebooked ord
positive,exicted flying yall soon
negative,know mean rain sucks
positive,around better
negative,eriord express connections hugely popular could eriewr hop
negative,sad schools close
neutral,back lunch remembered join daily recap jb
positive,lived first handful years life jacksonville nc
neutral,england x
neutral,finds sunanda k dattaray
negative,wrote another song ran ideas one bit
positive,seem outgrown diapersnappys please keep crappy content
negative,cant book flight prn website
negative,looking help usairways award travel booked wife two boys seats assigned
negative,checkin oramarecordscom got fever cnt sleep
negative,house hunting next year fun
negative,bad im getting memo reservation contains modifications prevent changing online fusturated
negative,bahhhh cold weather making teeth hurt
negative,fly weekly havent seen one
neutral,wanted get piercing thought would distracting others giving presentations u think
negative,can`t keep
positive,ps got ben button today completes best picture nomsgot great year
positive,happy mothers day mark
positive,oh see daily life shots it`ll interesting well
positive,hen style may may involve making promises people need deliver concerns
neutral,can`t say i`ve tried haven`t tried sword either yet anyway
positive,created monster bwahaha oh got baby home safe sound
negative,really want get home tonight preferably please stop delaying plane americanairlines
neutral,equations graphs
negative,gah money least bakugan
positive,thinking upmarket seriously great see new mag launch time like
positive,oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol
positive,got call chimp buddies want join party loads prepare wow great cup tea first think erm
positive,lol dion putting eyedrops eyes
positive,theres whole bunch weird people following ill reading pretend arent
negative,one random phone calls ever god kill
positive,encantado looking stuff like past days
neutral,yes got lovey himhe returned lovething led another also wants know ur mad
positive,momma comin night morrow tennis day pnar yuppie
positive,amen vitamins made ill felt better started taking
negative,unhappy
neutral,route home parents th wedding anniversary day gona take em dinner let`s c find woman getha long
negative,really unhelpful cant rebook online
positive,swimming tanning heaven blasted music tanning world
positive,can`t believe i`m spending lunch break inside desk
neutral,inconclusive there`s still chance i`ll need surgery see doctor weeks xrays
neutral,next time around please let know take lunch
negative,saw link get error cnn site open page cannot read article
neutral,oh
negative,oh that`s annoying problem thighs hips hope catch soon
neutral,took mr timothy run he`s quite fast hold bottom
negative,reason delay
neutral,knee surgery back home weeks
negative,seriously though direct flights sfofll may
positive,awesome ill book next christmas vacatinn december ways want devalue mileage plus
neutral,i`ll right save slice
positive,lol see talk next dont lol
negative,charging biz flight uk somewhat egregious charging top sam adams draft united club usurious
positive,told story ghosts room days talked afraid kid knows heal
positive,thanks recent follow much appreciated happy want
positive,moss wall want one black board hehehe would like say drew shark didnt evil laugh
positive,hey yay thanks wow ur page awesome
positive,happy mother`s day moms take load least day
negative,first fares may three times carriers seats available select
negative,crossfit running todayagitated right leg
neutral,living harlem say sure far pollution parts nyc i`ve lived
positive,makes sense i`d totally show girlfriend asking wear high school prom dress
positive,listening jubey snoring phone hehe goodnight
positive,like sound new job title inventory manager
negative,man test playing cod days till summer
negative,think get faster response twitter callwhats
negative,man tha mojitos earlier got feelin type funny hope don`t get sick
positive,great time mpix shootout great thanks mpix
positive,ohh yeah sausage pancakes happy x
neutral,_x hah well least saying tory fatty watty
positive,stuffed cupcakes marshmallows baked butter goods
neutral,already know happens supernatural
negative,havnt gotten months ex seems dating isn`t spark anymore still love loser left
negative,new plane wifi working entertainment non existent new seats seriously uncomfortable really unitedfail ua
positive,get wonderful toys
neutral,i`m sitting girl urk nerves damm yo
positive,ok thank
negative,flight fll sfo speed line even though paid coffee flight non stop unscheduled stop
neutral,regimes changes bullying police officers
negative,failed thats answer please dont justify otherwise
positive,sounds good cleaning cynics orders haha good night talk tomorrow
neutral,dear mikey robins nah you`ve heard
neutral,patents system changes position iphone midair yay
neutral,start daily ber flights newark milan malpensa replacing ber apr instead mar avgeek
negative,years flying never pissed many incidents one flight
neutral,go duster shoppping greenhills mom balikbayans
neutral,little louisa number trying get number one
neutral,proper cba
neutral,agreedthis time year change motto soggy statemy backyard looks like swimming pool
positive,whew thassa relief
neutral,im hungry cold
positive,flew sdf atl tampa delta left early arrived early crew helpful wifi worked
neutral,forgot set itunes display play count last night didn`t understand taylor swift front belinda haha
negative,buy tix days flight cant transfer tix flawed security logic flawed customer service
negative,finds hardest thing christian put god first life need help
neutral,white pointy shoes haha ah got excited enw drummer youre mean
positive,may th
positive,fun day boo short fun
positive,great youre welcome josh happy ^adam
positive,whole foods barton springs yogurt spot oasis perfect day austin
negative,bored waiting till go tha bus
positive,thanks prefer keep memories
positive,clambering crashed cars hilarious fun
neutral,garg rapped post
neutral,can`t make tour i`m philippines
negative,another note geodefense easy onwards medium maps whole world pain awaits exploration
negative,seems like never gonna stop i`ll never get want
positive,omg saw ur update nd said david archuleta lol shoulda david david`s awsome tp
